幸腹グラフィティ,銃皇無尽のファフニール,冴えない彼女の育てかた,暗殺教室,探偵歌劇ミルキィホームズTD,艦隊これくしょん -艦これ-,アイドルマスターシンデレラガールズ,ジョジョの奇妙な冒険 スターダストクルセイダース,アルドノア・ゼロ(後半),少年ハリウッド-HOLLY STAGE FOR 50-,デュラララ!!×２,蒼穹のファフナー EXODUS,純潔のマリア,美男高校地球防衛部LOVE!,聖剣使いの禁呪詠唱＜ワールドブレイク＞,DOG DAYS″,血液型くん！2,ISUCA,東京喰種トーキョーグール√A,黒子のバスケ 第3期,アブソリュート・デュオ,新妹魔王の契約者(テスタメント) ,ローリング☆ガールズ,夜ノヤッターマン,みんな集まれ！ファルコム学園SC,神様はじめました◎,戦国無双,デス・パレード,美少女戦士セーラームーンCrystal 2期
0,0.084076613,0.134599132,0.043822422,0.077955939,0.103970743,0.117141785,0.064719165,0.080442262,0.034838685,0.046458268,0.0588329,0.094368489,0.034992849,0.083274853,0.095596015,0.01976974,0.081224306,0.04421179,0.022382217,0.122568404,0.107117581,0.117993242,0.039311421,0.033286367,0.052489043,0.0280474,0.051382346,0.019551888
0.084076613,0,0.041944005,0.035942967,0.081482275,0.054730498,0.049878189,0.026821508,0.03348265,0.01964534,0.020357793,0.035475319,0.067375471,0.022698125,0.070621174,0.068797833,0.029443766,0.069546166,0.023713346,0.013235441,0.058559802,0.062199497,0.060009353,0.04754721,0.029782658,0.039696903,0.028196789,0.03234297,0.01530878
0.134599132,0.041944005,0,0.04758627,0.061902825,0.105011022,0.107189735,0.048605885,0.075517256,0.026924299,0.04787274,0.046464204,0.075528205,0.033793131,0.072671911,0.077153158,0.023338618,0.074006055,0.047827177,0.025455576,0.180444642,0.103499981,0.085954864,0.060144399,0.024364486,0.041124788,0.023609202,0.043059546,0.021302101
0.043822422,0.035942967,0.04758627,0,0.021304091,0.052713292,0.03631475,0.032167544,0.038816038,0.037787223,0.062491426,0.026470629,0.036836271,0.061816585,0.0220807,0.026774401,0.022504737,0.024447016,0.062876839,0.062758138,0.035773,0.027881331,0.028563356,0.029394134,0.01166252,0.044109687,0.038104488,0.039677389,0.04327207
0.077955939,0.081482275,0.061902825,0.021304091,0,0.051705863,0.072719606,0.045163546,0.052549087,0.029906559,0.029340954,0.040763356,0.061069563,0.024167898,0.065754704,0.068603732,0.014878916,0.051135172,0.025102418,0.016394515,0.070595645,0.067081469,0.074079727,0.045085052,0.032331674,0.046635967,0.014902135,0.02712254,0.012745014
0.103970743,0.054730498,0.105011022,0.052713292,0.051705863,0,0.163846918,0.07282053,0.067395104,0.023521177,0.043853253,0.048813151,0.050837052,0.035868943,0.045986674,0.057666996,0.013963485,0.052386082,0.044610071,0.036823524,0.072004593,0.067208745,0.063900047,0.066242875,0.028290911,0.02867195,0.034024073,0.034782138,0.041823563
0.117141785,0.049878189,0.107189735,0.03631475,0.072719606,0.163846918,0,0.097954568,0.084775516,0.033499912,0.046643965,0.060083414,0.061433707,0.039631619,0.060364375,0.075551665,0.011826169,0.0627172,0.041996693,0.034111369,0.081241081,0.083542276,0.082147904,0.068020158,0.029869118,0.030094438,0.025055302,0.042887365,0.032881055
0.064719165,0.026821508,0.048605885,0.032167544,0.045163546,0.07282053,0.097954568,0,0.06105542,0.039085274,0.056452442,0.055299172,0.058610601,0.043835587,0.044454751,0.055819092,0.01644561,0.044537876,0.05029867,0.046993019,0.05284743,0.06255055,0.064394707,0.06213512,0.0331302,0.039666775,0.035462431,0.047387895,0.033299012
0.080442262,0.03348265,0.075517256,0.038816038,0.052549087,0.067395104,0.084775516,0.06105542,0,0.061775505,0.072819324,0.070659632,0.079815423,0.092674408,0.057016687,0.069472019,0.017371606,0.048429518,0.077951627,0.062206968,0.066404504,0.06775857,0.074633663,0.051804109,0.025476187,0.045105791,0.021328865,0.064726519,0.024516978
0.034838685,0.01964534,0.026924299,0.037787223,0.029906559,0.023521177,0.033499912,0.039085274,0.061775505,0,0.056215194,0.057183952,0.055325213,0.102038585,0.040168996,0.041546839,0.031342274,0.032331926,0.057680288,0.067883499,0.041043027,0.044546485,0.044664723,0.031621667,0.029445455,0.069791086,0.031731978,0.058521028,0.025118022
