幸腹グラフィティ,銃皇無尽のファフニール,冴えない彼女の育てかた,暗殺教室,探偵歌劇ミルキィホームズTD,艦隊これくしょん -艦これ-,アイドルマスターシンデレラガールズ,ジョジョの奇妙な冒険 スターダストクルセイダース,アルドノア・ゼロ(後半),少年ハリウッド-HOLLY STAGE FOR 50-,デュラララ!!×２,蒼穹のファフナー EXODUS,純潔のマリア,美男高校地球防衛部LOVE!,聖剣使いの禁呪詠唱＜ワールドブレイク＞,DOG DAYS″,血液型くん！2,ISUCA,東京喰種トーキョーグール√A,黒子のバスケ 第3期,アブソリュート・デュオ,新妹魔王の契約者(テスタメント) ,ローリング☆ガールズ,夜ノヤッターマン,みんな集まれ！ファルコム学園SC,神様はじめました◎,戦国無双,デス・パレード,美少女戦士セーラームーンCrystal 2期
0,0.337784114,0.283014272,0.302816411,0.332192809,0.264857833,0.271835127,0.315373028,0.307445373,0.383044877,0.324006291,0.341009018,0.330411039,0.341783641,0.351252438,0.320218166,0.511707219,0.324156088,0.322613881,0.349609031,0.308996245,0.322434681,0.313667985,0.362861179,0.434999527,0.351405162,0.384471519,0.343068259,0.35758034
0.337784114,0,0.36684975,0.343006125,0.366412466,0.312900938,0.332569122,0.402068502,0.389022873,0.485272504,0.411838751,0.414659076,0.38780144,0.410481624,0.404168388,0.373340727,0.547622692,0.368188059,0.39562754,0.429108346,0.382578621,0.389734727,0.385611141,0.394234954,0.512980982,0.412669639,0.43458799,0.414659076,0.4182464
0.283014272,0.36684975,0,0.293641162,0.335878598,0.259920798,0.269724624,0.32117069,0.303722644,0.389734727,0.3157246,0.345175499,0.333672651,0.335827005,0.350273368,0.322938749,0.477686845,0.321378222,0.312416966,0.335162619,0.288065027,0.317137653,0.320759282,0.332521874,0.448340238,0.356270246,0.385611141,0.34426779,0.34465427
0.302816411,0.343006125,0.293641162,0,0.360804054,0.262838586,0.286215071,0.313337098,0.306719305,0.336661017,0.282549601,0.343695048,0.339961283,0.285965147,0.38528278,0.34557095,0.428365736,0.346306278,0.279570371,0.275334124,0.33054509,0.352021791,0.34530688,0.338606986,0.461399899,0.323193504,0.327087527,0.31991744,0.288531273
0.332192809,0.366412466,0.335878598,0.360804054,0,0.307307988,0.307376608,0.35758034,0.350948686,0.429860545,0.374758386,0.391374965,0.381811518,0.392689278,0.395829653,0.362263388,0.620045889,0.375152735,0.379436982,0.398961896,0.359951604,0.373213999,0.36128504,0.385119433,0.483515538,0.388147324,0.474561156,0.413513404,0.417938427
0.264857833,0.312900938,0.259920798,0.262838586,0.307307988,0,0.235485397,0.2743981,0.277955732,0.349389971,0.287072166,0.305486762,0.314509738,0.297751449,0.332099323,0.300723809,0.449375738,0.301494622,0.283611401,0.285863534,0.291759023,0.30115387,0.299043145,0.293759153,0.377314705,0.332711225,0.321937715,0.315695163,0.281759515
0.271835127,0.332569122,0.269724624,0.286215071,0.307376608,0.235485397,0,0.275924567,0.281808242,0.348811517,0.297482792,0.311031486,0.321239731,0.307445373,0.335518916,0.30362066,0.498921986,0.308070912,0.298433587,0.301494622,0.300262991,0.306141171,0.302638244,0.306141171,0.396032576,0.347539431,0.354091871,0.321586988,0.303397444
0.315373028,0.402068502,0.32117069,0.313337098,0.35758034,0.2743981,0.275924567,0,0.316862502,0.372585581,0.313036629,0.341424212,0.351712321,0.328246049,0.384794387,0.343380409,0.526973927,0.351252438,0.314595081,0.311992587,0.345504768,0.34597036,0.339165514,0.335827005,0.431007306,0.363978926,0.366959748,0.344525024,0.327703562
0.307445373,0.389022873,0.303722644,0.306719305,0.350948686,0.277955732,0.281808242,0.316862502,0,0.348454128,0.30376353,0.330859785,0.337406069,0.297700895,0.371354195,0.333965959,0.523975819,0.34831205,0.297903611,0.30172387,0.335518916,0.343380409,0.333381619,0.346509191,0.455970445,0.358386309,0.401161702,0.330589882,0.344203741
0.383044877,0.485272504,0.389734727,0.336661017,0.429860545,0.349389971,0.348811517,0.372585581,0.348454128,0,0.344719051,0.377038884,0.395829653,0.320285348,0.441998505,0.401161702,0.530084769,0.413797583,0.339334662,0.325338852,0.401161702,0.407865867,0.400270494,0.417938427,0.505631827,0.370155408,0.419180655,0.370037263,0.379148396
